"ERI","CODE","CLAS","KIND","CNAME","SPEC","CCCCODE","BARCODE","SUPP","PREDAY","USERFLD1","USERFLD2","PRICE1","PRICE2","PRICE3","PRICE4","PRICE5","MADETYPE","CALCUTYPE","LOCALITY","IMPTRATE","GOODRATE","MARGIN","UNIT","INUNIT","INQTY","OUTUNIT","OUTQTY","LEN","WIDE","HIGHT","PUNIT","PACKUNIT","WETUNIT","NW","INNW","PACKNW","GW","INGW","PACKGW","CFT","INCFT","PACKCFT","CTNQTY","CTNINQTY","PACKQTY","FTQTY20","FTINQTY20","FTPQTY20","FTQTY40","FTINQTY40","FTPQTY40","FTQTY40H","FTINQTY40H","FTPQTY40H","FTQTY45","FTINQTY45","FTPQTY45","PACKDESC","PRODDESC","DESCRIP","ENAME","ESPEC","EPDESC","PICTURE","FCOST","CCOST","TDATE","SAFEQTY","MAXQTY","FQTY","CQTY","FBROWQTY","CBROWQTY","FLENDQTY","CLENDQTY","FPHSQTY","CPHSQTY","FORDQTY","CORDQTY","FSASMQTY","CSASMQTY","FSASKQTY","CSASKQTY","FAGTQTY","CAGTQTY","COSTSUBJ","SALESUBJ","STOCKSUBJ","RAWPSUBJ","HFINPSUBJ","FINPSUBJ","INSDATE","FLAG","GPFLAG","TTIME","UPDNFLAG","GUNSALEFLAG","PRHSSUBJ","FMASMQTY","CMASMQTY","FMASKQTY","CMASKQTY","EXPCOST","CURR","MINQTY","PRSFLAG","LPHSDATE","LSALDATE","LINDATE","LOUTDATE","LUPDDATE","LENDSUBJ","BROWSUBJ","EPDESC1","NTAXFLAG","MFLAG","NSDATE","PICTURES","PICTURED","PICTUREB","SCLAS","SCLASNAME","MCLAS","MCLASNAME","BCLAS","BCLASNAME","GPCQTY","APCODE","LASTUPD","POSFLAG","POSDISFLAG","PLUS","PLUSPRC","BONUSTYPE","BONUSVALUE","FCMD","STOCKMD","PREPERIOD","LPRHSQTY","BESTOQTY","BSTCOST","BROQTY","BOPERIOD","STLDATE"
"00K00902HLPIY6DI","14023","03-2","","福音傳真DVD(1-33輯)","(30)/每輯","","4714140235050","702","0","","","30","0","0","0","0","0","0","","0","0","0","片","片","1","片","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","22.36199","22.36168","2020/04/07","0","0","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4101.","","","","","2008/08/25","1","0","","0","1","5201.","0","0","0","0","0","NTD","1","0","2023/03/10","2024/07/02","2022/03/09","2024/07/02","2021/04/28","","","","0","0","","","","","","","","","","","0","","200407115355","","","","","","","","","","","","","","",""
"00K00902IFTSE0CS","S040A","04-1","","月曆(格式:每個月一張)　　　　","80(工本費)","","S040A","105","0","","","80","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","46.24656","46.25452","2025/09/13","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2004/01/01","0","0","","0","0","5913.","0","0","0","0","0","NTD","0","0","2024/10/08","2024/12/28","2022/09/30","2024/12/28","2021/12/15","","","","0","0","","","","","","","","","","","0","","250913155941","","","","","","","","","","","","","","",""
"00K00902ILS6O3IZ","S057G","04-1","","按鈴/叫人鈴","100","","4714792023029","511","0","","","100","0","0","0","0","1","1","","0","0","0","個","個","1","個","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","57.40981","61.96003","2025/07/23","2","0","21","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/10/01","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2024/12/09","","2023/07/22","","","","","","0","0","","","","","","","","","","","0","","250723155229","","","","","","","","","","","","","","",""
"00K00902JLVF3772","130012","03-3","","聖靈論英文版(Holy Spirit)","(160)工本費","","4711300121604","705","0","","","160","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","120.05148","120.05148","2023/04/11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4101.","","","","","2008/10/14","1","0","","0","1","5201.","0","0","0","0","0","NTD","1","0","2017/03/01","2021/10/23","2019/12/31","2021/10/23","2021/10/23","","","","0","0","","","","","","","","","","","0","","230411104303","","","","","","","","","","","","","","",""
"00K00902LJWJQHMA","12054","11","","高中班學生本","40元/本","","12054","703","0","","","40","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","21.18516","21.18516","2022/02/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4101.","","","","","2008/09/21","1","0","","0","1","5201.","0","0","0","0","0","NTD","1","0","2022/11/23","2020/12/31","2024/01/01","2020/12/31","2024/01/01","","","","1","0","","","","","","","","","","","0","","220209105108","","","","","","","","","","","","","","",""
"00K00902LXUG31YU","12052-1","11","","國中班教員本","50元","","12052-1","703","0","","","50","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","54.87423","54.87423","2022/02/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4101.","","","","","2008/09/21","1","0","","0","1","5201.","0","0","0","0","0","NTD","1","0","2022/11/23","2021/12/28","2024/01/01","2021/12/28","2024/01/01","","","","1","0","","","","","","","","","","","0","","220209105100","","","","","","","","","","","","","","",""
"00K00902LXUIM1ZD","12054-1","11","","高中班教員本","50元","","12054-1","703","0","","","50","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","52.10672","52.10672","2022/02/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4101.","","","","","2008/09/21","1","0","","0","1","5201.","0","0","0","0","0","NTD","1","0","2022/11/23","2022/02/10","2024/01/01","2022/02/10","2024/01/01","","","","1","0","","","","","","","","","","","0","","220209105115","","","","","","","","","","","","","","",""
"00K0090GR54PCF3V","TD0008","07-6","","利未記(卷上)聖經註釋(天道)","870","","9789622081888","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","539","539","2018/10/02","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2018/10/02","2021/01/27","2018/10/02","2021/01/27","2021/01/27","","","","0","0","","","","","","","","","","","0","","181002104215","","","","","","","","","","","","","","",""
"00K0090GR54QZF3W","TD0009","07-6","","利未記(卷下)聖經註釋(天道)","720","","9789622081949","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","445","445","2018/10/02","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2018/10/02","2021/01/27","2018/10/02","2021/01/27","2021/01/27","","","","0","0","","","","","","","","","","","0","","181002104228","","","","","","","","","","","","","","",""
"00K0090GR54TYF3Y","TD0011","07-6","","申命記(卷上)聖經註釋(天道)","705","","9789622085510","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","402.66667","402.66667","2008/05/14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/09/22","2023/11/21","2011/02/10","2023/11/21","2023/11/21","","","","0","0","","","","","","","","","","","0","","110303123451","","","","","","","","","","","","","","",""
"00K0090GR54VFF3Z","TD0012","07-6","","申命記(卷下)聖經註釋(天道)","810","","9789622085220","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","462.66667","462.66667","2008/05/14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/09/22","2014/12/29","2011/02/10","2014/12/29","2014/12/29","","","","0","0","","","","","","","","","","","0","","110303123451","","","","","","","","","","","","","","",""
"00K0090GR54ZYF42","TD0015","07-6","","撒母耳記上(卷一)聖經註釋(天道)","760","","9789622084322","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","434.125","434.125","2008/05/14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/09/22","2010/12/20","2011/02/10","2010/12/20","2011/02/10","","","","0","0","","","","","","","","","","","0","","110303123451","","","","","","","","","","","","","","",""
"00K0090GR551BF43","TD0016","07-6","","撒母耳記上(卷二)聖經註釋(天道)","675","","9789622085084","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","385","385","2008/05/14","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/09/22","2010/12/20","2014/12/25","2010/12/20","2014/12/25","","","","0","0","","","","","","","","","","","0","","110303123451","","","","","","","","","","","","","","",""
"00K0090GR552MF44","TD0017","07-6","","列王記(卷一)聖經註釋(天道)","870","","9789622085435","303","0","","","99","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","497","497","2008/05/14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2007/06/06","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/09/22","2021/11/22","2011/02/10","2021/11/22","2021/11/22","","","","0","0","","","","","","","","","","","0","","110303123451","","","","","","","","","","","","","","",""
